ReceptionTime,ts,tsys0,tsys1,tsys2,tsys3,tsys4,tsys5,tsys6,tsys7,tsys8,tsys9,tsys10,tsys11,tsys12,tsys13,tsys14,tsys15
1518042537.06378,1518042536.73399,20.412046,20.405923,20.478863,20.380893,20.442477,20.515405,20.440787,20.270629,20.414376,20.459814,20.303024,20.356679,20.48737,20.52507,20.406418,20.41486
1518042538.37964,1518042538.05583,20.410763,20.401264,20.479337,20.381568,20.440512,20.513916,20.441256,20.275572,20.416474,20.46272,20.300658,20.353846,20.491352,20.527298,20.411702,20.412023
1518042539.69708,1518042539.37831,20.40948,20.405045,20.479134,20.382851,20.438344,20.513104,20.439247,20.275233,20.414917,20.456435,20.304444,20.355195,20.489192,20.527231,20.40696,20.411887
1518042541.02885,1518042540.6961,20.411439,20.405248,20.483128,20.383256,20.439428,20.513171,20.437305,20.275301,20.416135,20.461233,20.302348,20.356139,20.486358,20.528244,20.406892,20.413036
1518042542.35074,1518042542.02825,20.411033,20.405315,20.477509,20.382446,20.442612,20.51351,20.441122,20.275572,20.417556,20.459949,20.303768,20.355397,20.489057,20.527163,20.407841,20.413441
1518042599.92125,1518042599.50418,20.409143,20.404235,20.479608,20.382446,20.444373,20.515337,20.442729,20.276994,20.417015,20.459544,20.30485,20.355465,20.487843,20.529189,20.407773,20.415536
1518042601.25105,1518042600.91955,20.408062,20.401804,20.480014,20.383053,20.442612,20.515608,20.440854,20.277942,20.415797,20.464004,20.301267,20.355262,20.48926,20.529257,20.406147,20.413441
1518042602.57165,1518042602.24811,20.4084,20.405113,20.48367,20.379408,20.441731,20.516285,20.441658,20.27564,20.41715,20.459273,20.303227,20.358501,20.490272,20.528109,20.40696,20.411144
1518042603.91474,1518042603.57264,20.412384,20.407341,20.480014,20.381703,20.443764,20.516758,20.440385,20.276791,20.416135,20.463396,20.305188,20.355532,20.491757,20.529324,20.410076,20.412495
1518042605.20463,1518042604.88674,20.411979,20.408151,20.47866,20.384606,20.44356,20.519466,20.443399,20.278416,20.416135,20.460895,20.304782,20.357286,20.490947,20.525407,20.407502,20.4154
1518042606.51902,1518042606.20279,20.406915,20.405113,20.482858,20.381433,20.440444,20.511682,20.444604,20.274489,20.416135,20.462855,20.303836,20.357826,20.48845,20.530675,20.40696,20.411685
1518042607.83463,1518042607.51714,20.413127,20.405248,20.477509,20.384606,20.441257,20.516961,20.44293,20.278078,20.416609,20.462923,20.30174,20.355937,20.490407,20.53081,20.408722,20.415671
1518042609.15932,1518042608.83714,20.406509,20.406531,20.480217,20.384066,20.444306,20.517029,20.441925,20.275911,20.417827,20.463666,20.304309,20.355195,20.488855,20.530405,20.406283,20.411955
