######################################################################
#
# LoggerIdentifier    : 0000000C
# Comment             : 
# PC Time             : 24 January 2018 , 21:31:27
# Logger Time         : 24 January 2018 , 21:31:37
# StartBatteryVoltage :      2817 mV
# EndBatteryVoltage   :      2777 mV
# TotalSampleCount    :    300668
# ResistanceOffset    :     11910.90559
# ResistanceScale     :     90895.96966
# TemperatureOffset   :         0.0010743547
# TemperatureLinear   :         0.0002113377
# TemperatureCubic    :         0.0000000922
#
######################################################################
yyyy mm dd HH MM SS      Raw     Res[Ohm]   Temp[degC]
2017 12 15 18 26 00     6846    15179.993       40.198
2017 12 15 18 28 00     6859    15192.272       40.179
2017 12 15 18 30 00     6873    15205.499       40.159
2017 12 15 18 32 00     6885    15216.839       40.142
2017 12 15 18 34 00     6898    15229.127       40.123
2017 12 15 18 36 00     6911    15241.418       40.104
2017 12 15 18 38 00     6924    15253.712       40.086
2017 12 15 18 40 00     6935    15264.116       40.070
2017 12 15 18 42 00     6948    15276.415       40.051
2017 12 15 18 44 00     6960    15287.770       40.034
2017 12 15 18 46 00     6972    15299.128       40.016
2017 12 15 18 48 00     6983    15309.541       40.001
2017 12 15 18 50 00     6995    15320.904       39.983
2017 12 15 18 52 00     7006    15331.321       39.968
2017 12 15 18 54 00     7018    15342.689       39.950
2017 12 15 18 56 00     7029    15353.111       39.935
2017 12 15 18 58 00     7040    15363.535       39.919
2017 12 15 19 00 00     7051    15373.961       39.903
2017 12 15 19 02 00     7062    15384.389       39.887
2017 12 15 19 04 00     7073    15394.819       39.872
2017 12 15 19 06 00     7082    15403.354       39.859
2017 12 15 19 08 00     7093    15413.788       39.843
2017 12 15 19 10 00     7102    15422.326       39.830
2017 12 15 19 12 00     7113    15432.764       39.814
2017 12 15 19 14 00     7123    15442.254       39.800
2017 12 15 19 16 00     7132    15450.797       39.787
2017 12 15 19 18 00     7142    15460.291       39.773
2017 12 15 19 20 00     7151    15468.837       39.760
2017 12 15 19 22 00     7160    15477.384       39.747
2017 12 15 19 24 00     7170    15486.882       39.733
2017 12 15 19 26 00     7179    15495.432       39.720
2017 12 15 19 28 00     7188    15503.984       39.708
2017 12 15 19 30 00     7197    15512.537       39.695
2017 12 15 19 32 00     7206    15521.091       39.682
2017 12 15 19 34 00     7214    15528.696       39.671
2017 12 15 19 36 00     7222    15536.302       39.659
2017 12 15 19 38 00     7232    15545.811       39.645
2017 12 15 19 40 00     7239    15552.468       39.635
2017 12 15 19 42 00     7248    15561.029       39.622
2017 12 15 19 44 00     7256    15568.639       39.611
2017 12 15 19 46 00     7264    15576.251       39.600
2017 12 15 19 48 00     7271    15582.912       39.590
2017 12 15 19 50 00     7279    15590.526       39.578
2017 12 15 19 52 00     7287    15598.140       39.567
2017 12 15 19 54 00     7294    15604.804       39.557
2017 12 15 19 56 00     7301    15611.469       39.547
2017 12 15 19 58 00     7309    15619.087       39.536
2017 12 15 20 00 00     7316    15625.753       39.526
2017 12 15 20 02 00     7324    15633.373       39.515
2017 12 15 20 04 00     7330    15639.089       39.506
2017 12 15 20 06 00     7338    15646.711       39.495
2017 12 15 20 08 00     7344    15652.428       39.487
2017 12 15 20 10 00     7351    15659.098       39.477
2017 12 15 20 12 00     7357    15664.817       39.468
2017 12 15 20 14 00     7364    15671.489       39.458
2017 12 15 20 16 00     7371    15678.162       39.448
2017 12 15 20 18 00     7377    15683.882       39.440
2017 12 15 20 20 00     7383    15689.603       39.432
2017 12 15 20 22 00     7391    15697.232       39.420
2017 12 15 20 24 00     7396    15702.001       39.413
2017 12 15 20 26 00     7402    15707.724       39.405
2017 12 15 20 28 00     7408    15713.447       39.396
2017 12 15 20 30 00     7414    15719.172       39.388
2017 12 15 20 32 00     7420    15724.896       39.379
2017 12 15 20 34 00     7426    15730.622       39.371
2017 12 15 20 36 00     7431    15735.393       39.364
2017 12 15 20 38 00     7436    15740.166       39.357
2017 12 15 20 40 00     7443    15746.847       39.347
2017 12 15 20 42 00     7448    15751.620       39.340
2017 12 15 20 44 00     7453    15756.394       39.333
2017 12 15 20 46 00     7459    15762.123       39.325
2017 12 15 20 48 00     7464    15766.897       39.318
2017 12 15 20 50 00     7469    15771.672       39.311
2017 12 15 20 52 00     7475    15777.402       39.302
2017 12 15 20 54 00     7480    15782.178       39.295
2017 12 15 20 56 00     7484    15785.999       39.290
2017 12 15 20 58 00     7490    15791.731       39.281
2017 12 15 21 00 00     7494    15795.553       39.276
2017 12 15 21 02 00     7499    15800.330       39.269
2017 12 15 21 04 00     7504    15805.108       39.262
2017 12 15 21 06 00     7508    15808.931       39.256
2017 12 15 21 08 00     7513    15813.710       39.249
2017 12 15 21 10 00     7518    15818.489       39.242
2017 12 15 21 12 00     7522    15822.312       39.236
2017 12 15 21 14 00     7527    15827.092       39.229
2017 12 15 21 16 00     7531    15830.916       39.224
2017 12 15 21 18 00     7536    15835.697       39.217
2017 12 15 21 20 00     7539    15838.566       39.213
2017 12 15 21 22 00     7544    15843.347       39.206
2017 12 15 21 24 00     7548    15847.172       39.200
2017 12 15 21 26 00     7552    15850.998       39.195
2017 12 15 21 28 00     7556    15854.824       39.189
2017 12 15 21 30 00     7560    15858.650       39.183
2017 12 15 21 32 00     7564    15862.477       39.178
2017 12 15 21 34 00     7567    15865.347       39.174
2017 12 15 21 36 00     7571    15869.174       39.168
2017 12 15 21 38 00     7575    15873.001       39.162
2017 12 15 21 40 00     7578    15875.871       39.158
2017 12 15 21 42 00     7582    15879.699       39.153
2017 12 15 21 44 00     7586    15883.527       39.147
2017 12 15 21 46 00     7589    15886.398       39.143
2017 12 15 21 48 00     7594    15891.184       39.136
2017 12 15 21 50 00     7596    15893.098       39.133
2017 12 15 21 52 00     7600    15896.927       39.128
2017 12 15 21 54 00     7603    15899.799       39.123
2017 12 15 21 56 00     7606    15902.671       39.119
2017 12 15 21 58 00     7610    15906.501       39.114
2017 12 15 22 00 00     7613    15909.373       39.109
2017 12 15 22 02 00     7617    15913.203       39.104
2017 12 15 22 04 00     7619    15915.118       39.101
2017 12 15 22 06 00     7622    15917.991       39.097
2017 12 15 22 08 00     7625    15920.864       39.093
2017 12 15 22 10 00     7629    15924.695       39.087
2017 12 15 22 12 00     7631    15926.611       39.084
2017 12 15 22 14 00     7634    15929.484       39.080
2017 12 15 22 16 00     7637    15932.358       39.076
2017 12 15 22 18 00     7640    15935.232       39.072
2017 12 15 22 20 00     7643    15938.105       39.068
2017 12 15 22 22 00     7645    15940.021       39.065
2017 12 15 22 24 00     7648    15942.896       39.061
2017 12 15 22 26 00     7651    15945.770       39.057
2017 12 15 22 28 00     7653    15947.686       39.054
2017 12 15 22 30 00     7656    15950.561       39.050
2017 12 15 22 32 00     7659    15953.436       39.046
2017 12 15 22 34 00     7661    15955.352       39.043
2017 12 15 22 36 00     7664    15958.227       39.039
2017 12 15 22 38 00     7666    15960.144       39.036
2017 12 15 22 40 00     7669    15963.019       39.032
2017 12 15 22 42 00     7671    15964.936       39.029
2017 12 15 22 44 00     7673    15966.853       39.026
2017 12 15 22 46 00     7675    15968.770       39.023
2017 12 15 22 48 00     7678    15971.646       39.019
2017 12 15 22 50 00     7680    15973.563       39.016
2017 12 15 22 52 00     7683    15976.439       39.012
2017 12 15 22 54 00     7684    15977.398       39.011
2017 12 15 22 56 00     7687    15980.274       39.007
2017 12 15 22 58 00     7689    15982.192       39.004
2017 12 15 23 00 00     7691    15984.110       39.001
2017 12 15 23 02 00     7694    15986.986       38.997
2017 12 15 23 04 00     7696    15988.904       38.994
2017 12 15 23 06 00     7698    15990.822       38.991
2017 12 15 23 08 00     7699    15991.781       38.990
2017 12 15 23 10 00     7701    15993.699       38.987
2017 12 15 23 12 00     7703    15995.617       38.984
2017 12 15 23 14 00     7705    15997.535       38.982
2017 12 15 23 16 00     7707    15999.453       38.979
2017 12 15 23 18 00     7709    16001.371       38.976
2017 12 15 23 20 00     7711    16003.290       38.973
2017 12 15 23 22 00     7713    16005.208       38.971
2017 12 15 23 24 00     7714    16006.167       38.969
2017 12 15 23 26 00     7716    16008.086       38.966
2017 12 15 23 28 00     7718    16010.004       38.964
2017 12 15 23 30 00     7719    16010.964       38.962
2017 12 15 23 32 00     7722    16013.842       38.958
2017 12 15 23 34 00     7723    16014.801       38.957
2017 12 15 23 36 00     7725    16016.720       38.954
2017 12 15 23 38 00     7727    16018.639       38.951
2017 12 15 23 40 00     7729    16020.558       38.948
2017 12 15 23 42 00     7730    16021.517       38.947
2017 12 15 23 44 00     7731    16022.477       38.946
2017 12 15 23 46 00     7734    16025.355       38.942
2017 12 15 23 48 00     7735    16026.315       38.940
2017 12 15 23 50 00     7737    16028.234       38.937
2017 12 15 23 52 00     7738    16029.194       38.936
2017 12 15 23 54 00     7739    16030.153       38.935
2017 12 15 23 56 00     7741    16032.073       38.932
2017 12 15 23 58 00     7742    16033.032       38.930
2017 12 16 00 00 00     7744    16034.952       38.928
2017 12 16 00 02 00     7745    16035.912       38.926
2017 12 16 00 04 00     7747    16037.831       38.924
2017 12 16 00 06 00     7748    16038.791       38.922
2017 12 16 00 08 00     7749    16039.751       38.921
2017 12 16 00 10 00     7750    16040.711       38.919
2017 12 16 00 12 00     7752    16042.630       38.917
2017 12 16 00 14 00     7753    16043.590       38.915
2017 12 16 00 16 00     7754    16044.550       38.914
2017 12 16 00 18 00     7756    16046.470       38.911
2017 12 16 00 20 00     7757    16047.430       38.910
2017 12 16 00 22 00     7759    16049.350       38.907
2017 12 16 00 24 00     7760    16050.310       38.906
2017 12 16 00 26 00     7761    16051.270       38.904
2017 12 16 00 28 00     7762    16052.230       38.903
2017 12 16 00 30 00     7763    16053.190       38.901
2017 12 16 00 32 00     7764    16054.150       38.900
2017 12 16 00 34 00     7766    16056.070       38.897
2017 12 16 00 36 00     7767    16057.030       38.896
2017 12 16 00 38 00     7768    16057.991       38.895
2017 12 16 00 40 00     7769    16058.951       38.893
2017 12 16 00 42 00     7770    16059.911       38.892
2017 12 16 00 44 00     7771    16060.871       38.890
2017 12 16 00 46 00     7772    16061.831       38.889
2017 12 16 00 48 00     7773    16062.792       38.888
2017 12 16 00 50 00     7774    16063.752       38.886
2017 12 16 00 52 00     7775    16064.712       38.885
2017 12 16 00 54 00     7777    16066.633       38.882
2017 12 16 00 56 00     7777    16066.633       38.882
2017 12 16 00 58 00     7778    16067.593       38.881
2017 12 16 01 00 00     7780    16069.514       38.878
2017 12 16 01 02 00     7780    16069.514       38.878
2017 12 16 01 04 00     7782    16071.435       38.875
2017 12 16 01 06 00     7781    16070.474       38.877
2017 12 16 01 08 00     7783    16072.395       38.874
2017 12 16 01 10 00     7784    16073.355       38.872
2017 12 16 01 12 00     7785    16074.316       38.871
2017 12 16 01 14 00     7786    16075.276       38.870
2017 12 16 01 16 00     7786    16075.276       38.870
2017 12 16 01 18 00     7787    16076.237       38.868
2017 12 16 01 20 00     7788    16077.197       38.867
2017 12 16 01 22 00     7789    16078.158       38.866
2017 12 16 01 24 00     7789    16078.158       38.866
2017 12 16 01 26 00     7791    16080.079       38.863
2017 12 16 01 28 00     7791    16080.079       38.863
2017 12 16 01 30 00     7792    16081.039       38.861
2017 12 16 01 32 00     7792    16081.039       38.861
2017 12 16 01 34 00     7793    16082.000       38.860
2017 12 16 01 36 00     7794    16082.961       38.859
2017 12 16 01 38 00     7794    16082.961       38.859
2017 12 16 01 40 00     7795    16083.921       38.857
2017 12 16 01 42 00     7796    16084.882       38.856
2017 12 16 01 44 00     7796    16084.882       38.856
2017 12 16 01 46 00     7797    16085.842       38.855
2017 12 16 01 48 00     7798    16086.803       38.853
2017 12 16 01 50 00     7799    16087.764       38.852
2017 12 16 01 52 00     7799    16087.764       38.852
2017 12 16 01 54 00     7800    16088.724       38.850
2017 12 16 01 56 00     7800    16088.724       38.850
2017 12 16 01 58 00     7801    16089.685       38.849
2017 12 16 02 00 00     7802    16090.646       38.848
2017 12 16 02 02 00     7802    16090.646       38.848
2017 12 16 02 04 00     7804    16092.567       38.845
2017 12 16 02 06 00     7804    16092.567       38.845
2017 12 16 02 08 00     7805    16093.528       38.843
2017 12 16 02 10 00     7805    16093.528       38.843
2017 12 16 02 12 00     7806    16094.489       38.842
2017 12 16 02 14 00     7807    16095.450       38.841
2017 12 16 02 16 00     7807    16095.450       38.841
2017 12 16 02 18 00     7808    16096.411       38.839
2017 12 16 02 20 00     7808    16096.411       38.839
2017 12 16 02 22 00     7809    16097.372       38.838
2017 12 16 02 24 00     7809    16097.372       38.838
2017 12 16 02 26 00     7811    16099.293       38.835
2017 12 16 02 28 00     7810    16098.332       38.837
2017 12 16 02 30 00     7812    16100.254       38.834
2017 12 16 02 32 00     7812    16100.254       38.834
2017 12 16 02 34 00     7813    16101.215       38.832
2017 12 16 02 36 00     7813    16101.215       38.832
2017 12 16 02 38 00     7814    16102.176       38.831
2017 12 16 02 40 00     7814    16102.176       38.831
2017 12 16 02 42 00     7814    16102.176       38.831
2017 12 16 02 44 00     7815    16103.137       38.830
2017 12 16 02 46 00     7815    16103.137       38.830
2017 12 16 02 48 00     7816    16104.098       38.828
2017 12 16 02 50 00     7817    16105.059       38.827
2017 12 16 02 52 00     7816    16104.098       38.828
2017 12 16 02 54 00     7818    16106.020       38.826
2017 12 16 02 56 00     7818    16106.020       38.826
2017 12 16 02 58 00     7818    16106.020       38.826
2017 12 16 03 00 00     7818    16106.020       38.826
2017 12 16 03 02 00     7819    16106.981       38.824
2017 12 16 03 04 00     7819    16106.981       38.824
2017 12 16 03 06 00     7820    16107.942       38.823
2017 12 16 03 08 00     7820    16107.942       38.823
2017 12 16 03 10 00     7821    16108.903       38.821
2017 12 16 03 12 00     7821    16108.903       38.821
2017 12 16 03 14 00     7822    16109.864       38.820
2017 12 16 03 16 00     7822    16109.864       38.820
2017 12 16 03 18 00     7822    16109.864       38.820
2017 12 16 03 20 00     7822    16109.864       38.820
2017 12 16 03 22 00     7823    16110.825       38.819
2017 12 16 03 24 00     7824    16111.786       38.817
2017 12 16 03 26 00     7824    16111.786       38.817
2017 12 16 03 28 00     7824    16111.786       38.817
2017 12 16 03 30 00     7824    16111.786       38.817
2017 12 16 03 32 00     7825    16112.748       38.816
2017 12 16 03 34 00     7825    16112.748       38.816
2017 12 16 03 36 00     7826    16113.709       38.815
2017 12 16 03 38 00     7826    16113.709       38.815
2017 12 16 03 40 00     7826    16113.709       38.815
2017 12 16 03 42 00     7826    16113.709       38.815
2017 12 16 03 44 00     7827    16114.670       38.813
2017 12 16 03 46 00     7827    16114.670       38.813
2017 12 16 03 48 00     7827    16114.670       38.813
2017 12 16 03 50 00     7828    16115.631       38.812
2017 12 16 03 52 00     7828    16115.631       38.812
